"Brand_encoded","age","Model_encoded","Car_Suv_encoded","UsedOrNew_encoded","Transmission_encoded","Kilometres_num","Cylinders","Engine_L","DriveType_encoded","FuelType_encoded","FuelConsumption_num","ColourExtInt_encoded","Location_encoded","BodyType_encoded","Doors_num","Seats_num","Brand_Model_encoded","Price"
13,10,233,35,0,1,94377,4,2,0,1,7.9,209,282,5,4,5,236,23888
27,9,124,5,0,1,94965,4,1.5,0,1,6.2,218,399,0,5,5,127,16999
15,6,177,35,0,1,99294,4,2.5,0,1,8.1,209,399,5,4,7,180,24490
35,18,152,20,0,1,264691,4,1.5,0,1,6.7,133,22,3,4,5,154,7949
37,10,91,35,0,1,140964,4,2.4,3,1,9.1,202,121,5,4,5,92,13990
35,22,279,19,0,1,266848,4,2.4,2,1,0,142,163,1,4,3,282,9999
38,12,322,20,0,1,141000,4,1.6,0,4,7.4,157,399,3,4,5,325,14999
43,15,165,160,0,1,101126,4,1.8,2,4,7.9,78,537,9,2,4,168,21950
43,12,336,5,0,1,117254,4,2,0,4,6.6,192,163,0,5,5,340,19999
35,13,218,160,0,0,178747,4,2,2,4,7.8,180,220,9,2,4,221,19900
23,3,248,35,0,1,10579,4,2.5,4,1,7.5,272,163,5,4,5,251,37990
27,12,104,20,0,1,163161,6,4,2,1,9.9,219,399,3,4,5,106,16999
32,4,299,5,0,0,13200,4,1.4,0,4,6,272,342,0,3,4,301,36990
12,11,219,35,0,1,103211,4,2.4,3,1,8.7,162,399,5,4,5,222,23880
35,18,194,20,0,1,177751,4,1.8,0,1,7.4,133,100,3,4,5,197,10990
35,9,279,108,0,1,119614,4,2.7,2,1,10.9,180,258,6,3,14,282,44900
13,13,162,5,0,1,125546,4,1.8,0,1,6.9,151,399,0,5,5,165,15880
23,12,150,20,0,1,163000,4,2.5,0,1,6.6,226,100,3,4,5,155,16995
35,17,317,35,0,1,132864,6,3.5,0,1,11,219,399,5,4,7,320,19880
13,7,254,35,0,1,71655,4,2.2,4,2,7.8,218,358,5,4,7,257,43999
40,13,326,35,0,1,109459,4,2,3,2,5.6,202,399,5,4,5,329,18888
8,9,142,159,0,1,65361,4,1.6,0,4,7.5,150,100,8,2,4,145,24995
20,16,71,20,0,1,163012,4,2,0,1,8.2,139,100,3,4,5,72,9990
42,11,361,160,0,1,82119,4,2,4,4,6.7,218,399,9,2,4,365,27380
19,7,84,5,0,1,42071,3,1,0,1,5.4,153,358,0,5,5,85,24999
37,10,143,35,0,1,85958,6,3.2,3,1,10,184,98,5,4,5,146,17999
31,14,321,35,0,1,118642,4,2,4,4,8.8,202,134,5,4,5,324,12990
20,13,169,35,0,1,187265,4,2,0,1,7.9,157,257,5,4,5,172,13990
40,9,328,159,0,1,118120,4,2,2,4,6.4,226,425,8,2,4,331,28990
13,3,233,35,0,1,19978,4,2,0,1,8.1,192,137,5,4,5,236,36800
23,14,130,20,0,1,86804,4,2,0,1,8.2,111,22,3,4,5,134,13999
31,2,321,156,1,1,15,4,2,4,4,8.9,357,399,5,4,7,324,56887
35,9,317,35,0,1,139637,6,3.5,0,1,10.4,226,163,5,4,7,320,31900
16,9,180,35,0,1,104887,4,2,4,1,7.1,226,348,5,4,5,183,22990
30,8,186,5,0,1,72501,4,2,0,4,5.5,164,399,0,5,5,189,31990
8,15,154,37,0,0,169220,8,6,2,1,14.5,202,399,4,2,2,157,25999
13,10,129,5,0,1,111783,4,1.4,0,1,5.9,90,221,0,5,5,132,13990
13,14,129,5,0,1,188262,4,1.4,0,1,6.4,157,100,0,5,5,132,10995
23,15,46,35,0,1,152831,4,2.3,4,1,11.5,253,406,5,4,5,46,11669
37,8,145,35,0,1,69218,4,1.4,0,4,5.9,226,537,5,4,5,148,24950
23,12,150,20,0,1,124093,4,2.5,0,1,6.6,192,183,3,4,5,155,16990
16,7,141,5,0,1,61177,4,2,4,1,6.6,209,121,0,5,5,144,22990
40,4,425,35,0,1,31367,4,2,4,1,7.3,209,497,5,5,5,430,79988
23,15,46,35,0,1,174818,4,2.3,4,1,11.5,139,392,5,4,5,46,12800
42,10,361,160,0,1,115334,4,2,4,4,6.7,226,399,9,2,4,365,26880
40,11,245,5,0,1,57000,4,1.6,2,4,5.8,218,126,0,5,5,248,16990
42,11,356,35,0,1,199941,8,4.1,4,2,9.2,202,163,5,4,7,360,28999
11,10,72,5,0,1,23316,3,1,0,1,4.8,157,399,0,5,4,73,13880
16,9,134,20,0,1,226127,6,3.6,4,4,9.9,192,89,3,4,5,137,17950
35,6,283,35,0,0,58185,4,1.2,0,4,5.4,164,399,5,4,5,285,33888
16,4,173,35,0,1,16136,4,2.5,4,1,7.4,133,154,5,4,5,176,39990
23,10,189,35,0,1,31531,4,2,4,1,6.7,192,227,5,4,5,192,23950
37,7,281,35,0,1,76472,6,3,3,2,7.5,218,537,5,4,5,339,41950
13,7,162,5,0,1,62719,4,2,0,1,7.4,180,358,0,4,5,165,21999
12,15,112,20,0,1,146445,4,1.5,0,1,6.6,202,13,3,4,5,115,8950
12,5,219,35,0,1,35214,4,1.5,0,1,7.3,226,399,5,4,7,222,37880
8,11,39,5,0,0,163000,4,1.6,0,1,7.4,139,92,0,5,5,39,7950
37,12,281,35,0,1,69001,6,3.6,2,4,10.1,226,544,5,4,5,339,24990
35,18,343,35,0,1,106718,4,2.4,3,1,9.6,90,22,5,4,5,346,14999
8,9,154,20,0,1,59689,6,3,2,1,8.3,153,399,3,4,5,157,22999
23,12,150,20,0,1,105767,4,2.5,0,1,6.6,218,358,3,4,5,155,19999
31,7,201,19,0,1,87293,4,1.4,0,4,6,192,399,1,3,2,204,30999
12,12,185,20,0,1,154347,4,1.8,0,1,6.7,133,100,3,4,5,188,15990
37,4,234,35,0,1,20827,4,2.4,0,1,7.9,218,342,5,4,5,237,32888
37,11,281,35,0,1,114424,6,3,3,2,7.5,226,331,5,4,5,339,29990
23,16,130,5,0,0,153020,4,2.5,0,1,8.6,139,406,0,5,5,134,13950
27,9,330,37,0,1,98700,5,3.2,3,2,9,157,163,4,4,5,333,36999
35,12,218,160,0,1,103706,4,2,2,4,7.1,225,221,9,2,4,221,24990
20,12,71,5,0,1,73421,4,2,0,1,7.3,226,305,0,5,5,72,16990
35,16,223,20,0,1,155135,4,2.4,0,1,9.9,218,100,3,4,5,226,10995
13,12,129,5,0,1,123330,4,1.4,0,1,6.4,226,305,0,5,5,132,12990
23,16,130,5,0,1,70661,4,2,0,1,8.2,192,100,0,5,5,134,14995
20,11,251,37,0,1,215100,4,2.5,3,2,9.3,192,80,4,4,5,254,18995
31,11,209,5,0,1,155036,4,1.4,0,4,5.4,272,331,0,5,5,212,14990
40,13,310,5,0,1,67678,6,3,2,4,7.5,246,541,0,5,5,312,29950
13,7,163,13,0,1,190176,4,2.5,2,2,8.8,111,126,2,4,8,166,27990
20,12,251,37,0,0,231675,4,2.5,3,2,9.1,192,137,4,4,5,254,19800
40,4,446,20,0,1,23332,4,2,2,4,6.4,202,497,3,4,5,451,67988
31,7,209,13,0,1,130647,4,1.4,0,4,5.6,218,399,2,4,5,212,21880
42,6,354,35,0,1,47307,4,1.4,0,4,7.2,218,555,5,4,5,358,41888
16,9,224,35,0,1,74983,4,2.5,4,4,7.3,180,348,5,4,5,227,29990
23,18,150,5,0,0,102496,4,2.3,0,4,8.8,120,42,0,5,5,155,7920
13,10,77,5,0,1,84924,4,1.6,0,1,6.4,180,358,0,5,5,78,14999
48,12,459,35,0,1,159558,6,3,3,2,8.8,218,537,5,4,5,464,38950
27,12,124,5,0,1,67590,4,1.6,0,1,6.6,180,42,0,5,5,127,12990
19,8,190,35,0,1,65502,4,2.4,4,1,8.5,218,342,5,4,5,193,29990
53,15,487,35,0,1,193271,8,4.8,4,4,10.5,218,193,5,4,5,491,29990
53,9,549,160,0,0,23481,6,3.8,2,4,10.3,218,399,9,2,2,554,214880
27,18,81,35,0,1,173839,6,4,4,1,12.2,192,227,5,4,5,82,8950
15,9,205,37,0,1,258936,4,2.3,3,2,7,218,399,4,4,5,208,21290
23,11,130,5,0,1,130242,4,2,0,1,5.8,190,406,0,5,5,134,16388
13,4,207,35,0,1,35024,4,1.6,0,1,7.2,142,331,5,4,5,210,26990
40,10,241,35,0,1,44145,4,2,4,2,5.1,192,257,5,4,5,244,32000
40,4,446,20,0,1,29567,4,2,2,4,6.4,202,497,3,4,5,451,67988
23,18,150,5,0,1,223898,4,2.3,0,4,8.9,202,36,0,5,5,155,7600
20,14,71,5,0,1,205373,4,2,0,1,7.3,139,100,0,5,5,72,9990
40,5,496,160,0,1,2858,6,3,2,4,8.8,218,497,9,2,4,500,129988
11,14,138,5,0,1,201011,4,1.4,0,1,6.2,226,227,0,5,5,141,7999
10,8,110,5,0,1,57217,3,1.2,0,4,5.1,180,358,0,5,5,113,16990
20,10,251,37,0,1,204000,4,2.5,3,2,9.3,192,80,4,4,5,254,18995
16,12,173,35,0,0,122077,4,2,4,1,7.2,139,497,5,4,5,176,16857
23,10,189,35,0,1,60581,4,2,0,1,6.1,219,331,5,4,5,192,22990
15,15,205,37,0,0,259488,4,2.5,3,2,9.8,192,257,4,2,2,208,13950
19,8,164,5,0,1,21350,4,2,0,1,7.1,139,399,0,5,5,167,22990
42,9,441,5,0,1,47926,5,2.5,4,4,8.1,218,331,0,5,5,446,59990
20,11,251,37,0,0,88861,4,2.5,2,2,8,192,282,4,2,2,254,21880
37,18,281,35,0,1,199000,6,3,3,2,16,130,29,5,4,5,339,10990
43,7,267,20,0,1,72540,4,2,2,5,6.5,219,399,3,4,4,270,39990
27,13,330,37,0,0,254121,5,3.2,3,2,9.4,142,126,4,4,5,333,21990
12,17,185,5,0,0,165450,4,2,0,4,9.3,133,100,0,3,4,188,18990
12,3,219,35,0,1,15087,4,1.5,0,1,7.3,192,359,5,4,5,222,39990
15,12,205,37,0,1,159056,4,2.5,3,2,10.5,192,257,4,4,5,208,21990
13,8,233,35,0,1,97295,4,2,4,2,6.8,192,479,5,4,5,236,31990
23,10,248,35,0,1,83095,4,2.5,4,1,7.4,139,257,5,4,5,251,26990
39,8,309,37,0,1,192988,4,3,3,2,7.7,192,163,4,4,5,311,28999
43,11,320,5,0,1,105663,4,1.8,0,2,4.6,157,257,0,5,5,323,22500
35,18,279,19,0,0,222603,4,2.7,2,1,11.6,142,221,1,4,3,282,17990
27,5,235,35,0,1,22300,3,1,0,4,5.3,157,137,5,5,5,238,27800
23,3,100,5,0,1,11824,4,1.5,0,1,5.2,209,479,0,5,5,102,29990
13,5,233,35,0,1,38341,4,2,0,1,7.9,82,220,5,4,5,236,28984
35,5,223,20,0,1,7528,4,2.5,0,1,8.3,180,331,3,4,5,226,32990
12,7,112,20,0,1,94385,4,1.5,0,1,5.8,180,358,3,4,5,115,19999
35,7,283,35,0,1,110047,4,1.2,4,4,5.6,139,479,5,4,5,285,29990
19,13,276,35,0,1,164189,4,2.2,4,2,7.4,180,126,5,4,7,279,16990
8,12,39,5,0,1,106722,4,1.8,0,1,7.4,192,137,0,5,5,39,10800
39,7,363,35,0,1,72650,4,3,0,2,8.1,142,399,5,4,7,367,39880
19,10,164,20,0,1,123624,4,1.8,0,1,7.1,133,70,3,4,5,167,14995
46,11,359,20,0,1,155620,6,3.5,2,4,9.7,180,331,3,4,5,363,27990
35,16,194,5,0,1,114727,4,1.8,0,1,7.7,133,100,0,5,5,197,14995
35,9,317,35,0,1,98983,6,3.5,4,1,10.6,226,399,5,4,7,320,39280
31,18,209,5,0,1,160523,4,2,0,4,8.1,90,42,0,3,5,212,10990
8,10,154,20,0,1,96000,8,6,2,4,11.8,326,331,3,4,5,157,47990
15,9,177,35,0,1,39397,4,2.5,0,1,7.9,139,227,5,4,5,180,23950
13,5,162,5,0,1,54368,4,2,0,1,7.4,192,257,0,4,5,165,26990
8,11,39,5,0,1,220683,4,1.8,0,1,7.4,133,135,0,5,5,39,7990
35,12,223,20,0,1,89140,4,2.5,0,1,7.8,226,163,3,4,5,226,17900
35,12,194,5,0,1,149974,4,1.8,0,1,6.6,153,134,0,5,5,197,16990
13,6,162,5,0,1,44879,4,2,0,1,7.4,192,399,0,4,5,165,26990
23,9,303,37,0,1,110909,5,3.2,3,2,9.2,192,187,4,4,5,305,34913
35,12,194,5,0,1,109519,4,1.8,0,1,6.6,218,331,0,5,5,197,19990
19,5,402,20,0,1,19372,6,3.3,2,1,10.2,336,555,3,4,5,406,55888
35,10,343,35,0,1,155198,4,2.5,4,1,8.5,133,220,5,4,5,346,24950
12,13,78,5,0,1,111323,4,1.3,0,1,6.6,88,392,0,5,5,79,12800
40,8,430,5,0,1,79882,4,2,2,4,5.8,278,399,0,5,5,435,41280
31,17,209,5,0,0,155839,4,2,0,4,8.1,133,100,0,5,5,212,13990
16,7,224,35,0,1,66805,4,2.5,4,1,7.3,209,399,5,4,5,227,33898
27,14,81,35,0,1,227646,6,2.7,2,2,8.2,133,187,5,4,5,82,8913
19,12,84,5,0,1,88465,4,1.4,0,1,6.3,133,522,0,5,5,85,14888
8,12,154,20,0,1,237426,6,3.6,2,1,9.5,157,100,3,4,5,157,15995
35,26,455,37,0,0,41750,6,4.2,3,2,0,72,134,4,2,3,460,48999
12,9,185,20,0,1,35612,4,1.5,0,1,6,180,406,3,4,5,188,24888
42,12,229,5,0,1,148265,4,1.8,0,4,6.7,100,42,0,5,5,233,13999
13,7,162,5,0,1,83494,4,1.6,0,1,7.1,253,89,0,4,5,165,27950
23,13,100,5,0,1,85492,4,1.5,0,1,6.8,133,134,0,5,5,102,13990
31,12,321,35,0,1,126408,4,2,4,4,8.8,226,187,5,4,5,324,19999
25,8,232,19,0,0,173156,4,1.6,0,2,6.2,192,220,1,4,3,235,22950
10,12,85,5,0,0,78783,4,1.6,0,4,5.9,226,220,0,3,5,86,14990
48,5,459,35,0,1,26227,4,2,4,4,8.1,202,525,5,4,5,464,69800
20,11,251,37,0,0,221872,4,2.5,3,2,8.1,192,187,4,4,5,254,14413
23,7,150,20,0,1,24305,4,2.5,0,1,7,157,466,3,4,5,155,29990
42,18,268,20,0,1,168901,4,2,0,4,8.3,180,301,3,4,5,271,7950
12,20,79,20,0,1,167562,4,2.4,0,1,9.3,54,22,3,4,5,80,7949
42,9,436,35,0,1,152995,6,3,4,2,6.8,209,163,5,5,5,441,29999
8,14,154,13,0,1,183580,6,3.6,2,1,9.8,133,135,2,4,5,157,12990
15,10,177,35,0,1,124882,4,1.6,0,2,5.3,153,406,5,4,5,180,19888
23,20,150,20,0,1,247519,4,2.3,0,4,8.9,54,89,3,4,5,155,5950
42,4,354,35,0,1,9819,4,1.4,0,4,7.2,219,443,5,4,5,358,51990
46,21,340,20,0,1,124230,6,3,2,1,10.5,202,89,3,4,5,343,16000
20,5,251,37,0,1,43839,4,2.4,2,2,8.3,142,458,4,2,2,254,33990
13,13,162,5,0,1,106286,4,1.8,0,1,6.9,133,100,0,5,5,165,16990
35,7,317,35,0,1,128601,6,3.5,0,1,9.1,192,399,5,4,7,320,36888
16,14,224,35,0,1,91016,6,3.6,4,4,10.3,272,305,5,4,5,227,16999
44,11,213,20,0,1,38821,4,2.2,2,2,5.2,209,525,3,4,5,216,29800
27,12,330,37,0,0,167122,5,3.2,3,2,9.4,192,187,4,4,5,333,23913
12,21,79,20,0,1,207966,4,2.4,0,4,9.4,180,126,3,4,5,80,8990
31,10,128,5,0,1,39578,4,1.2,0,4,4.8,142,42,0,5,5,131,16420
13,10,121,5,0,1,138263,4,1.6,0,1,6.4,218,100,0,3,4,124,21995
35,19,194,5,0,1,238016,4,1.8,0,1,7.4,180,25,0,5,5,197,5999
42,11,354,35,0,1,73021,4,2,4,2,5.9,326,100,5,4,5,358,27995
8,15,39,20,0,1,106831,4,2,0,2,6.9,150,122,3,4,5,39,8995
13,13,162,5,0,1,209552,4,2,0,1,7.6,139,100,0,5,5,165,7995
35,3,152,5,0,1,17984,3,1.5,0,5,3.3,190,361,0,5,5,154,39990
48,10,459,35,0,1,139968,6,3,3,2,8.8,272,331,5,4,7,464,54990
22,3,238,24,2,1,15,4,1.5,0,1,7.1,99,399,5,4,5,241,23690
20,10,251,37,0,0,154276,4,2.4,3,2,7.2,133,135,4,4,5,254,28990
43,16,183,20,0,1,98170,8,5.5,2,4,11,296,525,3,4,5,186,34990
19,12,84,5,0,0,131990,4,1.4,0,1,5.7,90,369,0,5,5,85,11490
35,6,194,5,0,1,173605,4,2,0,1,6,192,497,0,5,5,197,18995
35,8,279,19,0,1,160331,4,3,2,2,8.7,142,134,1,4,2,282,34995
8,15,154,13,0,1,203500,6,3,2,1,9.3,192,100,2,4,5,157,7995
35,7,308,37,0,1,37726,4,2.8,3,2,8.5,192,187,4,4,5,310,49913
23,7,130,5,0,1,50304,4,2.5,0,1,6.1,218,443,0,5,5,134,23400
40,7,377,5,0,1,59223,6,3,2,4,7.1,218,331,0,5,5,381,44990
13,12,77,20,0,1,103629,4,1.6,0,1,6.4,180,100,3,4,5,78,12995
37,10,281,35,0,1,92805,6,3,3,2,7.5,139,187,5,4,5,339,23913
43,20,267,20,0,1,98800,4,1.8,2,1,9.5,301,305,3,4,5,270,9888
8,16,154,13,0,1,127994,6,3.6,2,1,11,180,497,2,4,5,157,13990
16,10,141,5,0,1,171352,4,2,4,1,6.8,272,358,0,5,5,144,15999
23,10,303,37,0,1,31931,5,3.2,3,2,9.2,192,137,4,4,5,305,38800
11,14,138,5,0,1,158817,4,1.4,0,1,6.2,202,100,0,5,5,141,11800
31,9,209,5,0,0,89757,4,1.4,0,4,5.7,111,221,0,5,5,212,16990
43,14,165,20,0,1,120209,4,1.8,2,4,7.6,180,220,3,4,5,168,18990
8,14,154,13,0,1,174239,6,3,2,1,8.9,192,392,2,4,5,157,13800
35,7,283,35,0,1,67615,4,1.2,4,4,5.6,207,224,5,4,5,285,32980
10,8,110,5,0,1,41522,3,1.2,0,4,5.1,153,187,0,5,5,113,18777
42,7,295,35,0,1,38238,4,1.4,0,4,5.3,164,525,5,4,5,297,35800
19,7,276,35,0,1,157465,4,2.2,4,2,7.2,192,220,5,4,7,279,28950
15,18,314,35,0,0,165374,4,3,3,2,10.8,157,227,5,4,7,317,32950
13,5,162,5,0,1,40178,4,2,0,1,7.4,142,331,0,4,5,165,26300
12,15,79,20,0,1,191701,4,2.4,0,4,8.9,83,220,3,4,5,80,10499
15,10,210,35,0,1,77936,4,2,0,1,6.9,218,369,5,4,5,213,23990
35,10,455,37,0,0,217658,8,4.5,3,2,11.5,192,187,4,2,3,460,56913
31,10,250,13,0,1,49801,4,1.8,0,4,6,218,369,2,4,5,253,26990
16,12,173,35,0,1,121608,4,2.5,4,1,8.1,202,141,5,4,5,176,16950
25,11,261,13,0,1,112133,4,1.2,0,4,5.6,120,221,2,4,5,264,13999
25,7,232,19,0,0,153438,4,1.6,0,2,6.2,192,406,1,4,3,235,31950
35,12,308,37,0,0,215189,4,2.7,2,1,11,192,70,4,2,3,310,13995
8,9,39,20,0,0,139558,4,1.6,0,1,7.4,272,220,3,4,5,39,12990
58,14,566,20,0,1,45385,12,6.6,2,4,13.6,133,562,3,4,5,571,329990
31,9,272,19,0,0,265837,4,2,2,2,0,142,134,1,3,2,275,25995
19,10,164,5,0,1,103354,4,1.8,0,1,7.1,218,187,0,5,5,167,15888
35,13,171,13,0,1,115000,4,2.4,0,1,8.9,142,305,2,4,8,174,22999
35,8,223,20,0,1,97480,4,2.5,0,1,7.9,97,392,3,4,5,226,23999
35,7,194,5,0,1,82020,4,2,0,1,6,142,511,0,5,5,197,29888
12,5,195,35,0,1,29007,4,1.8,0,1,6.7,209,359,5,4,5,198,34990
19,8,190,35,0,1,115759,4,2,0,1,7.9,142,444,5,4,5,193,24990
35,19,223,20,0,1,260901,4,2.4,0,1,9.9,157,22,3,4,5,226,6990
13,7,197,19,0,1,57505,4,2.5,2,2,8.8,209,497,1,4,3,200,35995
16,16,141,20,0,0,153891,4,2.5,4,4,10.7,111,42,3,4,5,144,16420
8,20,38,37,0,0,169587,6,3.5,2,1,0,192,187,4,4,5,38,9913
40,12,109,160,0,1,170658,4,2,2,2,5.3,202,193,9,2,4,112,17890
35,10,343,35,0,1,119342,4,2,0,1,7.4,218,406,5,4,5,346,21888
8,8,74,5,0,1,128928,4,1.6,0,4,6.3,72,220,0,5,5,77,15984
35,15,317,35,0,1,269287,6,3.5,3,1,11,192,100,5,4,7,320,13995
35,6,194,5,0,1,60906,4,1.8,0,5,4.2,180,361,0,5,5,197,35990
15,10,177,35,0,1,188702,4,2.5,0,1,7.9,139,392,5,4,5,180,14900
40,8,241,35,0,1,41275,4,2,0,2,4.7,193,469,5,4,5,244,34880
23,17,150,13,0,1,196135,4,2.5,0,4,8.9,139,89,2,4,5,155,8950
27,8,330,37,0,1,196114,5,3.2,3,2,8.8,218,425,4,4,5,333,36990
13,16,163,13,0,1,152352,4,2.4,2,4,10.6,133,135,2,4,8,166,19990
35,12,343,35,0,1,165245,4,2.2,4,2,6.5,133,100,5,4,5,346,16995
35,13,317,35,0,1,101222,6,3.5,3,1,11,218,305,5,4,7,320,23990
8,7,230,37,0,1,164863,4,2.8,2,2,8.8,81,122,4,4,5,229,23888
8,13,69,35,0,1,121948,6,3,4,1,11.3,16,98,5,4,7,70,8999
43,16,267,20,0,1,73989,4,1.8,2,4,8.2,133,187,3,4,5,270,13913
13,16,163,13,0,1,240239,4,2.4,2,4,10.6,209,100,2,4,8,166,15990
19,5,84,5,0,1,67712,4,1.4,0,1,6,139,525,0,5,5,85,21800
33,6,160,13,0,1,19768,4,1.4,0,4,6,157,466,2,4,5,163,23990
15,7,205,37,0,0,62782,4,2.3,3,2,6.5,133,154,4,4,5,208,41990
35,8,308,37,0,1,162384,4,2.8,3,2,8.5,192,399,4,4,5,310,37888
44,14,213,20,0,1,133360,6,3,2,2,6.8,95,541,3,4,5,216,23950
20,8,169,35,0,1,89044,4,2,0,1,7.4,192,100,5,4,5,172,20995
19,4,132,5,0,1,4758,4,1.2,0,1,5.8,226,187,0,5,5,135,20444
35,10,343,35,0,1,130569,4,2,0,1,7.4,218,220,5,4,5,346,23400
12,8,185,5,0,0,88363,4,2,0,4,8.8,321,411,0,5,4,188,49880
35,18,343,35,0,0,192415,4,2.4,3,1,9.6,120,42,5,4,5,346,10999
39,12,309,37,0,0,223907,4,3,2,2,8,192,187,4,2,2,311,14913
23,9,130,20,0,0,209628,4,2,0,1,5.8,226,100,3,4,5,134,13995
19,14,164,160,0,1,97125,4,2,0,1,7.8,153,369,9,2,5,167,11990
23,6,130,5,0,0,55677,4,2,0,1,6.2,142,406,0,5,5,134,24888
35,16,223,20,0,1,134916,4,2.4,0,1,8.8,180,25,3,4,5,226,9990
27,9,124,5,0,0,117686,4,2,0,4,7.3,111,406,0,5,5,127,26888
8,10,113,35,0,1,146059,4,1.4,0,1,6.9,301,122,5,4,5,116,11995
8,11,154,20,0,1,207234,6,3.6,2,1,9.5,202,100,3,4,5,157,19995
22,2,227,24,1,1,15,4,1.5,0,3,6.9,53,399,5,5,5,231,27690
8,15,178,20,0,1,176052,8,6,2,4,14.6,180,358,3,4,5,181,18999
6,10,58,5,0,0,79452,4,1.2,0,4,5.1,139,100,0,3,4,59,9800
23,13,100,5,0,1,139976,4,1.5,0,1,6.8,180,134,0,5,5,102,12990
31,10,209,5,0,1,98900,4,2,0,4,6.6,226,406,0,5,5,212,26888
43,9,285,35,0,1,99459,4,2,4,4,7,202,406,5,4,5,287,34950
29,5,280,35,0,1,34291,4,2,3,4,10.9,180,527,5,4,7,283,37990
23,8,248,35,0,1,37811,4,2.5,4,1,7.5,130,399,5,4,5,251,39990
8,13,154,20,0,1,181747,6,3,2,1,8.9,139,100,3,4,5,157,11800
27,5,330,37,0,1,79801,4,2.2,3,2,8,218,425,4,4,5,333,46990
13,8,197,19,0,1,91989,4,2.5,2,2,8.8,218,527,1,4,3,200,34990
13,12,162,5,0,1,107647,4,1.8,0,1,6.9,153,399,0,5,5,165,16880
13,7,162,5,0,1,86144,4,2,0,1,7.4,192,466,0,4,5,165,21990
23,10,150,20,0,1,201306,4,2.5,0,1,6.6,139,163,3,4,5,155,12999
19,3,196,35,0,1,12412,4,1.4,0,1,6.7,82,331,5,4,5,199,24990
46,6,404,35,0,1,41988,4,2,0,4,8.1,180,459,5,4,5,408,52888
31,11,321,35,0,1,85601,4,1.4,0,4,7.3,120,221,5,4,5,324,17999
13,8,77,5,0,1,153986,4,1.6,0,1,6.6,218,100,0,5,5,78,16995
35,10,223,20,0,1,70759,4,2.5,0,1,7.8,180,348,3,4,5,226,24990
35,13,455,35,0,1,189152,4,3,3,2,8.5,202,220,5,4,7,460,39950
23,10,130,20,0,1,197191,4,2,0,1,5.7,209,163,3,4,5,134,12999
20,7,292,35,0,1,72640,4,2.4,3,2,8,226,452,5,4,5,294,41990
15,21,177,35,0,1,187550,4,2.5,3,1,10,133,100,5,4,5,180,10995
48,9,459,35,0,1,103473,4,2,4,2,5.3,192,406,5,4,5,464,39950
11,6,203,35,0,1,75607,4,1.4,0,4,5.9,158,452,5,4,5,206,27990
23,16,338,35,0,1,219702,6,3.7,3,1,13,180,227,5,4,7,342,7999
42,12,229,5,0,1,40260,4,1.4,0,4,4.7,192,525,0,5,5,233,22800
30,7,258,13,0,0,163591,4,2,4,4,7.8,272,142,2,4,5,261,29990
20,7,251,37,0,0,91792,4,2.4,3,2,7.2,153,452,4,4,5,254,39990
9,9,115,35,0,1,83656,4,1.6,0,2,3.6,202,515,5,4,5,118,17880
10,11,102,35,0,1,148600,4,1.6,0,4,6.5,154,100,5,4,5,104,14990
16,17,173,35,0,0,220235,4,2.5,4,1,9.3,272,100,5,4,5,176,8995
